"Date","Predicted Export"
"1/1/2015",59898.6818332259
"2/1/2015",48862.3828349414
"3/1/2015",57332.269872206
"4/1/2015",59005.594498017
"5/1/2015",96482.6225949311
"6/1/2015",59080.571158636
"7/1/2015",93478.9232973005
"8/1/2015",121390.331882288
"9/1/2015",114209.205230033
"10/1/2015",128280.117732823
"11/1/2015",61795.1945562318
"12/1/2015",89585.2273581574
"1/1/2016",120141.227098053
"2/1/2016",52808.3451243807
"3/1/2016",61527.5989192246
"4/1/2016",67512.4961282133
"5/1/2016",133388.384271282
"6/1/2016",94574.3464497245
"7/1/2016",110184.299315274
"8/1/2016",67642.9553006307
"9/1/2016",172892.339817059
"10/1/2016",104711.510265243
"11/1/2016",123219.561265075
"12/1/2016",87188.0233952115
"1/1/2017",116333.380213441
"2/1/2017",4308.56519286014
"3/1/2017",59532.2799996733
"4/1/2017",45820.7513606592
"5/1/2017",97968.7270859889
"6/1/2017",49191.1607885812
"7/1/2017",107496.800068437
"8/1/2017",41345.9985100108
"9/1/2017",125766.152795508
"10/1/2017",141460.415967854
"11/1/2017",40584.1940828162
"12/1/2017",43282.0924918738
"1/1/2018",157910.261994334
"2/1/2018",144882.802429843
"3/1/2018",48849.0253185229
"4/1/2018",57164.1599809219
"5/1/2018",97952.1956477538
"6/1/2018",81306.3885369817
"7/1/2018",173726.485385698
"8/1/2018",69792.9578790529
"9/1/2018",57899.4728876333
"10/1/2018",42780.8049663679
"11/1/2018",173923.57163758
"12/1/2018",120021.815052193
"1/1/2019",124332.978421863
"2/1/2019",46824.1293692686
"3/1/2019",65320.6448530663
"4/1/2019",88251.4842641827
"5/1/2019",181192.175768616
"6/1/2019",140645.141377598
"7/1/2019",142743.071849112
"8/1/2019",41575.1453899583
"9/1/2019",136620.450932979
"10/1/2019",127529.663122649
"11/1/2019",158273.853235607
"12/1/2019",90112.9566068534
