"Date","Predicted Export"
"1/1/2015",64936.7534517852
"2/1/2015",41173.8104412296
"3/1/2015",129538.880836917
"4/1/2015",82135.6215719893
"5/1/2015",112833.227629547
"6/1/2015",218509.010127031
"7/1/2015",139773.697819514
"8/1/2015",50216.8368445709
"9/1/2015",109551.938392379
"10/1/2015",109706.39217715
"11/1/2015",138810.003982311
"12/1/2015",107793.214787549
"1/1/2016",88931.4690184169
"2/1/2016",92165.918962618
"3/1/2016",119055.666744943
"4/1/2016",122928.168240475
"5/1/2016",237708.681708157
"6/1/2016",296108.447460354
"7/1/2016",126907.154758236
"8/1/2016",81468.2827426631
"9/1/2016",155880.816166304
"10/1/2016",87792.4491481153
"11/1/2016",87254.091121894
"12/1/2016",76331.5016165193
"1/1/2017",181706.23455836
"2/1/2017",182548.544553994
"3/1/2017",213212.635513494
"4/1/2017",165830.636237331
"5/1/2017",203650.122858533
"6/1/2017",246401.213220773
"7/1/2017",152345.248063225
"8/1/2017",180738.849598438
"9/1/2017",215343.636268593
"10/1/2017",195192.929783767
"11/1/2017",166166.730233793
"12/1/2017",131500.191756426
"1/1/2018",37796.4283693237
"2/1/2018",145911.787001302
"3/1/2018",196119.484330092
"4/1/2018",251629.339277116
"5/1/2018",275611.835414133
"6/1/2018",191877.409320322
"7/1/2018",195936.938635835
"8/1/2018",268756.548067668
"9/1/2018",201135.898959483
"10/1/2018",170792.00049734
"11/1/2018",96447.3218949165
"12/1/2018",80544.5204589041
"1/1/2019",172118.533233193
"2/1/2019",112528.947033641
"3/1/2019",125340.451812732
"4/1/2019",190858.828561967
"5/1/2019",272887.454521977
"6/1/2019",242961.271500036
"7/1/2019",157642.693856513
"8/1/2019",138828.299257072
"9/1/2019",159816.053213243
"10/1/2019",150315.168874197
"11/1/2019",170853.181186155
"12/1/2019",113898.693357806
