"Date","Predicted Export"
"1/1/2015",23701.0931940618
"2/1/2015",12695.6880548918
"3/1/2015",45788.5567368035
"4/1/2015",22039.5727654523
"5/1/2015",74028.3977336705
"6/1/2015",90024.8361111339
"7/1/2015",32267.724648624
"8/1/2015",63380.6285689713
"9/1/2015",14934.4474086556
"10/1/2015",41158.3765128916
"11/1/2015",35851.7762792765
"12/1/2015",901.257959784092
"1/1/2016",120466.444282727
"2/1/2016",73541.6540068113
"3/1/2016",76917.0264390824
"4/1/2016",56921.842848875
"5/1/2016",47146.628399654
"6/1/2016",57935.6164168835
"7/1/2016",24891.2722220933
"8/1/2016",44464.1763768528
"9/1/2016",8454.58203341036
"10/1/2016",22879.7350507999
"11/1/2016",10717.683629342
"12/1/2016",0
"1/1/2017",34233.159509791
"2/1/2017",0
"3/1/2017",16760.9666506968
"4/1/2017",28481.7909830491
"5/1/2017",52678.1098545444
"6/1/2017",55868.9999929761
"7/1/2017",32329.8817332507
"8/1/2017",39059.8487465644
"9/1/2017",20735.8167457229
"10/1/2017",22803.14005141
"11/1/2017",23301.2961868205
"12/1/2017",0
"1/1/2018",27388.1431652092
"2/1/2018",1899.993741339
"3/1/2018",43222.8934178459
"4/1/2018",39434.0509764356
"5/1/2018",54743.939581354
"6/1/2018",49777.7182554176
"7/1/2018",41560.5008829243
"8/1/2018",44186.2657686703
"9/1/2018",33823.1400945247
"10/1/2018",38126.8883346548
"11/1/2018",39523.0404887699
"12/1/2018",16281.727713494
"1/1/2019",64051.6302506846
"2/1/2019",37932.7173940803
"3/1/2019",37531.8799788627
"4/1/2019",48329.8236152746
"5/1/2019",64382.8432381686
"6/1/2019",65408.3402672974
"7/1/2019",59157.5491287384
"8/1/2019",58646.9676532229
"9/1/2019",37846.7177418403
"10/1/2019",42524.2230587123
"11/1/2019",35863.5640129168
"12/1/2019",15088.8762649383
