"Date","Predicted Export"
"1/1/2015",297941.96421032
"2/1/2015",261339.401695754
"3/1/2015",510637.166230822
"4/1/2015",329525.940836776
"5/1/2015",627451.416593871
"6/1/2015",446822.095775452
"7/1/2015",657388.24947007
"8/1/2015",231105.659819391
"9/1/2015",273010.528511418
"10/1/2015",440969.592501959
"11/1/2015",504854.066535153
"12/1/2015",374355.448380957
"1/1/2016",443120.633574423
"2/1/2016",436857.270622238
"3/1/2016",667849.486665601
"4/1/2016",424522.659342921
"5/1/2016",655855.63077809
"6/1/2016",462486.498601345
"7/1/2016",657718.644162783
"8/1/2016",311960.855141525
"9/1/2016",269386.664019538
"10/1/2016",397864.287202472
"11/1/2016",424224.016558869
"12/1/2016",270543.176102245
"1/1/2017",397613.801109399
"2/1/2017",295627.811357408
"3/1/2017",568582.628069238
"4/1/2017",413050.555745919
"5/1/2017",573865.359421357
"6/1/2017",519503.754534886
"7/1/2017",428317.024493482
"8/1/2017",380614.887646629
"9/1/2017",263114.227065385
"10/1/2017",281383.088764948
"11/1/2017",375977.451819982
"12/1/2017",290986.845106241
"1/1/2018",580733.539679684
"2/1/2018",309432.349697499
"3/1/2018",504982.974138946
"4/1/2018",500962.848824925
"5/1/2018",618937.039336406
"6/1/2018",523519.335471475
"7/1/2018",483689.789917363
"8/1/2018",388659.67212616
"9/1/2018",429913.992410901
"10/1/2018",494695.80643073
"11/1/2018",530118.391471432
"12/1/2018",409836.737730929
"1/1/2019",504887.66140778
"2/1/2019",524719.810483895
"3/1/2019",592271.683732874
"4/1/2019",534890.164529243
"5/1/2019",716618.585824601
"6/1/2019",573387.288666425
"7/1/2019",705461.704063131
"8/1/2019",425371.411120038
"9/1/2019",604664.686057289
"10/1/2019",487408.168671345
"11/1/2019",492851.022550733
"12/1/2019",569109.907682169
