"Date","Predicted Export"
"1/1/2015",109517.780031466
"2/1/2015",145652.917684965
"3/1/2015",353646.92458168
"4/1/2015",334507.421108258
"5/1/2015",300205.285061688
"6/1/2015",406009.236562762
"7/1/2015",426717.868830691
"8/1/2015",313138.169568245
"9/1/2015",248392.979112837
"10/1/2015",286677.517517756
"11/1/2015",130873.298153975
"12/1/2015",242330.821875946
"1/1/2016",197624.045937783
"2/1/2016",196792.058298707
"3/1/2016",344200.487115798
"4/1/2016",366799.967624023
"5/1/2016",398727.487474635
"6/1/2016",409335.494962256
"7/1/2016",435179.08286399
"8/1/2016",283852.026685821
"9/1/2016",224634.907888589
"10/1/2016",205165.80326346
"11/1/2016",215901.573994307
"12/1/2016",317335.077981954
"1/1/2017",218699.768296797
"2/1/2017",196833.948641239
"3/1/2017",338968.619350312
"4/1/2017",336253.961797342
"5/1/2017",328365.96749618
"6/1/2017",319044.244826633
"7/1/2017",347072.765990461
"8/1/2017",258666.583787748
"9/1/2017",229890.734071957
"10/1/2017",245904.207110739
"11/1/2017",175975.361476406
"12/1/2017",214319.14710369
"1/1/2018",180724.041946187
"2/1/2018",246087.768706965
"3/1/2018",340035.393636893
"4/1/2018",360350.648300873
"5/1/2018",320814.682806896
"6/1/2018",412199.599833869
"7/1/2018",371100.413334552
"8/1/2018",242509.572714684
"9/1/2018",143642.75341681
"10/1/2018",241942.630453238
"11/1/2018",165399.628866048
"12/1/2018",308482.452924477
"1/1/2019",216796.652114435
"2/1/2019",191917.44311767
"3/1/2019",362215.884673372
"4/1/2019",414433.22989013
"5/1/2019",348975.779647901
"6/1/2019",309340.930001605
"7/1/2019",390400.558050678
"8/1/2019",346075.144534032
"9/1/2019",254004.977034487
"10/1/2019",261384.779712941
"11/1/2019",233151.415387358
"12/1/2019",291110.775161699
