"Date","Predicted Export"
"1/1/2015",320287.485130129
"2/1/2015",124956.099997987
"3/1/2015",136030.997267591
"4/1/2015",254358.188528295
"5/1/2015",263733.411233131
"6/1/2015",245012.540265379
"7/1/2015",266672.686616565
"8/1/2015",202208.020574369
"9/1/2015",265061.577279938
"10/1/2015",237922.811317664
"11/1/2015",187311.639944531
"12/1/2015",188849.050895099
"1/1/2016",144473.820296991
"2/1/2016",25268.8294414374
"3/1/2016",191671.301583434
"4/1/2016",175973.661615353
"5/1/2016",318457.996856263
"6/1/2016",298448.628634479
"7/1/2016",231875.317712513
"8/1/2016",261824.212912849
"9/1/2016",266876.266480512
"10/1/2016",168397.311294617
"11/1/2016",151599.966690832
"12/1/2016",228156.524080307
"1/1/2017",250032.745050524
"2/1/2017",89423.8013104902
"3/1/2017",128392.12103065
"4/1/2017",221352.422938697
"5/1/2017",342700.514080361
"6/1/2017",278373.634174378
"7/1/2017",89240.9198570335
"8/1/2017",140681.486596251
"9/1/2017",163529.238676007
"10/1/2017",218885.510719791
"11/1/2017",98540.7605051541
"12/1/2017",137630.601774309
"1/1/2018",267304.733853726
"2/1/2018",153606.494288595
"3/1/2018",176073.821452861
"4/1/2018",247013.837811677
"5/1/2018",221203.712073256
"6/1/2018",243600.552794175
"7/1/2018",242044.323553795
"8/1/2018",174554.335113789
"9/1/2018",180940.437016516
"10/1/2018",261947.564844457
"11/1/2018",200153.111467395
"12/1/2018",295440.566892163
"1/1/2019",158208.0194294
"2/1/2019",119795.840490115
"3/1/2019",128834.984302034
"4/1/2019",137652.601693242
"5/1/2019",300100.453187847
"6/1/2019",312801.175903363
"7/1/2019",142893.643005827
"8/1/2019",239221.171680207
"9/1/2019",225665.012532892
"10/1/2019",238525.905429209
"11/1/2019",157656.11484677
"12/1/2019",179660.867345085
