"Year","Predicted Production"
"1/1/2012",0
"2/1/2012",47.1640515540366
"3/1/2012",2016.34824462331
"4/1/2012",2122.36196251379
"5/1/2012",192.525741308867
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0
"10/1/2012",0
"11/1/2012",0
"12/1/2012",0
"1/1/2013",0
"2/1/2013",30.6901070279571
"3/1/2013",1310.9022133948
"4/1/2013",1412.55512302998
"5/1/2013",124.982465347695
"6/1/2013",0
"7/1/2013",0.0376911995715066
"8/1/2013",0.0738657266475882
"9/1/2013",0.0994069291890169
"10/1/2013",0.106502802682713
"11/1/2013",0.110007116092519
"12/1/2013",0.102031493019693
"1/1/2014",0.0968071458393978
"2/1/2014",635.98938729946
"3/1/2014",878.531226986348
"4/1/2014",646.13765098529
"5/1/2014",0.0686490855124199
"6/1/2014",0.087794113603172
"7/1/2014",0.0966703163150891
"8/1/2014",0.0715404145981093
"9/1/2014",0.0563396205699385
"10/1/2014",0.0495301400537404
"11/1/2014",0.0247748403938893
"12/1/2014",0.0227437083442706
"1/1/2015",0.0288481090267875
"2/1/2015",478.164679370305
"3/1/2015",873.968803413601
"4/1/2015",324.683841275616
"5/1/2015",0.0629226029617557
"6/1/2015",0.0450699848874126
"7/1/2015",0.0039065196414472
"8/1/2015",0.0289908587571713
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0.0258821952655228
"12/1/2015",0.0306749757434592
"1/1/2016",0.0289552347092285
"2/1/2016",172.052371577823
"3/1/2016",906.970295228525
"4/1/2016",703.737112459802
"5/1/2016",138.371347839702
"6/1/2016",0.637082866604672
"7/1/2016",0.0372867630680513
"8/1/2016",0.0270266238723797
"9/1/2016",0.0373835658613573
"10/1/2016",0.0404309119178424
"11/1/2016",0.0307424303228413
"12/1/2016",0.0246666645463677
"1/1/2017",0.00217499509405264
"2/1/2017",88.2485923470239
"3/1/2017",1003.53388750637
"4/1/2017",703.106594122553
"5/1/2017",282.540736018377
"6/1/2017",2.39879921162266
"7/1/2017",0.00896560243554266
"8/1/2017",0.00293409211800496
"9/1/2017",0.00204619764977354
"10/1/2017",0.00643827667545169
"11/1/2017",0.00548695017113516
"12/1/2017",0.00612523797995276
"1/1/2018",0.0069952246398123
"2/1/2018",43.786744035283
"3/1/2018",845.693162225814
"4/1/2018",715.30204841065
"5/1/2018",108.786244527292
"6/1/2018",0
"7/1/2018",0.00177482172740507
"8/1/2018",0
"9/1/2018",0
"10/1/2018",0
"11/1/2018",0
"12/1/2018",0
"1/1/2019",0
"2/1/2019",0
"3/1/2019",595.272517741439
"4/1/2019",1196.75895384995
"5/1/2019",211.368528408615
"6/1/2019",0
"7/1/2019",0
"8/1/2019",0
"9/1/2019",0
"10/1/2019",0.00228791953255603
"11/1/2019",0.00076653196675136
"12/1/2019",0.0188568119882058
