"Year","Predicted Production"
"1/1/2012",0
"2/1/2012",1831.38432015649
"3/1/2012",2964.16527097719
"4/1/2012",1642.1454713923
"5/1/2012",141.248237474008
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",1.55253423106653e-05
"10/1/2012",1.20585322342575e-05
"11/1/2012",8.16015702919723e-06
"12/1/2012",0
"1/1/2013",11.1957973969171
"2/1/2013",2407.66838832166
"3/1/2013",3743.10185786684
"4/1/2013",907.623352182916
"5/1/2013",86.9255684876366
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0
"10/1/2013",0.000227115967474286
"11/1/2013",0.000729434380907692
"12/1/2013",0
"1/1/2014",12.8869519075835
"2/1/2014",1999.18736326595
"3/1/2014",2739.91139689071
"4/1/2014",642.777688576877
"5/1/2014",30.6068428085347
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0
"10/1/2014",0.000257265512093901
"11/1/2014",0.000715804736935191
"12/1/2014",0
"1/1/2015",11.6978064361395
"2/1/2015",1586.0527221264
"3/1/2015",2483.66840539319
"4/1/2015",545.700948068119
"5/1/2015",56.2816449059024
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0
"12/1/2015",0
"1/1/2016",485.193477030788
"2/1/2016",1322.72592154709
"3/1/2016",1377.19044110887
"4/1/2016",106.968792583375
"5/1/2016",1.25866772987467
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0.000250436615127202
"10/1/2016",0
"11/1/2016",0
"12/1/2016",0
"1/1/2017",101.209916235864
"2/1/2017",1767.5750961207
"3/1/2017",2089.72638850759
"4/1/2017",726.021162963357
"5/1/2017",8.13828573587737
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0.00394343916193321
"9/1/2017",0
"10/1/2017",6.55824342726969e-05
"11/1/2017",0
"12/1/2017",0
"1/1/2018",200.761246471457
"2/1/2018",830.219428735327
"3/1/2018",1487.4649396777
"4/1/2018",350.561345163804
"5/1/2018",17.828607745979
"6/1/2018",0
"7/1/2018",0.000423184141204517
"8/1/2018",0.00394060552257128
"9/1/2018",0
"10/1/2018",0.00159231461555658
"11/1/2018",0.000262687530916922
"12/1/2018",0
"1/1/2019",91.0099796522093
"2/1/2019",978.319730668484
"3/1/2019",1722.63540573633
"4/1/2019",320.824297161651
"5/1/2019",3.88253240375365
"6/1/2019",0.000215934096365555
"7/1/2019",0.319842835809468
"8/1/2019",0.00187700818061165
"9/1/2019",0
"10/1/2019",0.000137803316160534
"11/1/2019",0
"12/1/2019",3.71232591351855e-05
