"Year","Predicted Production"
"1/1/2012",1.39639003073741e-06
"2/1/2012",1.87168500057802e-06
"3/1/2012",0
"4/1/2012",6.84279452791225e-05
"5/1/2012",9.17200814666365e-05
"6/1/2012",3253.16439829082
"7/1/2012",7114.11542394071
"8/1/2012",4658.59201435236
"9/1/2012",0
"10/1/2012",0
"11/1/2012",0
"12/1/2012",0
"1/1/2013",2.17792481897506e-06
"2/1/2013",4.3364516463312e-05
"3/1/2013",0.00177727976574277
"4/1/2013",0.000106726705864899
"5/1/2013",0.00212668481973883
"6/1/2013",4418.62491729496
"7/1/2013",9029.08429162777
"8/1/2013",5910.08473484354
"9/1/2013",0
"10/1/2013",0
"11/1/2013",0
"12/1/2013",0
"1/1/2014",0
"2/1/2014",0
"3/1/2014",0.000141788736797012
"4/1/2014",0
"5/1/2014",0
"6/1/2014",3817.94975288686
"7/1/2014",11945.609687542
"8/1/2014",1863.6418177824
"9/1/2014",0
"10/1/2014",0
"11/1/2014",0
"12/1/2014",0
"1/1/2015",0
"2/1/2015",0
"3/1/2015",0.000155786420311775
"4/1/2015",0
"5/1/2015",0
"6/1/2015",3752.31881578489
"7/1/2015",13690.6426124025
"8/1/2015",2862.20081602618
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0
"12/1/2015",0
"1/1/2016",5.93523710872659e-05
"2/1/2016",6.40433350915275e-05
"3/1/2016",0
"4/1/2016",0.00312872236767386
"5/1/2016",47.2063932121857
"6/1/2016",3534.61421867807
"7/1/2016",10015.370907943
"8/1/2016",3723.69291784657
"9/1/2016",24.498870202108
"10/1/2016",0
"11/1/2016",0
"12/1/2016",0
"1/1/2017",0.00044575927346972
"2/1/2017",2.85757200773331e-05
"3/1/2017",0
"4/1/2017",0.0215402801811582
"5/1/2017",441.898029157482
"6/1/2017",9287.34736977834
"7/1/2017",17181.9598242433
"8/1/2017",2582.27388220572
"9/1/2017",0
"10/1/2017",0
"11/1/2017",0
"12/1/2017",0
"1/1/2018",0
"2/1/2018",0
"3/1/2018",3.88832437882166e-05
"4/1/2018",0
"5/1/2018",423.32228371594
"6/1/2018",8134.98359924206
"7/1/2018",14378.1302087558
"8/1/2018",3318.36386940299
"9/1/2018",0
"10/1/2018",0
"11/1/2018",0
"12/1/2018",0
"1/1/2019",0.0001644963227571
"2/1/2019",3.77757688992551e-05
"3/1/2019",0
"4/1/2019",0.0080869633942046
"5/1/2019",0.00189838891906824
"6/1/2019",6693.96260461666
"7/1/2019",18574.0025844512
"8/1/2019",6423.41974214801
"9/1/2019",0.0012479297782181
"10/1/2019",0.00247328332718303
"11/1/2019",0.00115994665397241
"12/1/2019",0.001332145493536
