"Year","Predicted Production"
"1/1/2012",769.38740078276
"2/1/2012",3797.85789845073
"3/1/2012",3214.09773209001
"4/1/2012",470.120968676495
"5/1/2012",0
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0
"10/1/2012",0.000883598750961049
"11/1/2012",0.000811891928319187
"12/1/2012",0.000603638083461546
"1/1/2013",797.4233928051
"2/1/2013",3942.51563114667
"3/1/2013",3335.96441459343
"4/1/2013",487.014262326038
"5/1/2013",0
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0.814864892744597
"10/1/2013",0
"11/1/2013",0.0552282964145104
"12/1/2013",0.0951024700549136
"1/1/2014",446.701262939316
"2/1/2014",2795.30801025955
"3/1/2014",4728.89582586212
"4/1/2014",909.386404693156
"5/1/2014",113.673300586645
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0
"10/1/2014",0.036782012551175
"11/1/2014",0.00953176993104535
"12/1/2014",0
"1/1/2015",707.970160147185
"2/1/2015",3802.19355528821
"3/1/2015",2970.23398308591
"4/1/2015",981.090846596751
"5/1/2015",163.515141099456
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0.0324200184986409
"12/1/2015",0.176341340238008
"1/1/2016",865.417184572221
"2/1/2016",3856.95490481966
"3/1/2016",3450.63826871346
"4/1/2016",1765.39841985674
"5/1/2016",310.894460679181
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0
"10/1/2016",0.00187299442137267
"11/1/2016",0.000879921101938414
"12/1/2016",0
"1/1/2017",436.906010368586
"2/1/2017",4893.61505384482
"3/1/2017",3986.09425044588
"4/1/2017",1377.51633515694
"5/1/2017",124.915597268255
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0.276669554869047
"10/1/2017",0.126855466881686
"11/1/2017",0
"12/1/2017",0
"1/1/2018",822.351903625824
"2/1/2018",6294.25506197698
"3/1/2018",3659.63984207517
"4/1/2018",1144.64497831727
"5/1/2018",6.66208898300266
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0.169088115616384
"10/1/2018",0
"11/1/2018",0.0340666632980695
"12/1/2018",0.0781165806824889
"1/1/2019",345.834884797857
"2/1/2019",3360.26384433996
"3/1/2019",5967.49806173745
"4/1/2019",1668.04194041236
"5/1/2019",43.2287389842142
"6/1/2019",0.00325527403654764
"7/1/2019",0.00700309453147858
"8/1/2019",0.00823424873625433
"9/1/2019",0
"10/1/2019",0.001617168541034
"11/1/2019",0
"12/1/2019",0
