"Year","Predicted Production"
"1/1/2012",0
"2/1/2012",394.908148891427
"3/1/2012",1834.36044108709
"4/1/2012",786.407082586446
"5/1/2012",43.0123274350365
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0
"10/1/2012",0.00243764112777995
"11/1/2012",0.00275027531811381
"12/1/2012",0.00234524038123185
"1/1/2013",0.389127548403879
"2/1/2013",522.001583502721
"3/1/2013",2150.29182428261
"4/1/2013",679.128793733994
"5/1/2013",22.9931377754457
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0
"10/1/2013",0
"11/1/2013",0
"12/1/2013",0.416680160972499
"1/1/2014",0.14681870268863
"2/1/2014",527.016112776651
"3/1/2014",1872.39222076267
"4/1/2014",923.987376214058
"5/1/2014",3.08419138296126
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0
"10/1/2014",0.090519761554641
"11/1/2014",0.174316258410098
"12/1/2014",0
"1/1/2015",0.122381794359292
"2/1/2015",696.109399714323
"3/1/2015",1840.2121543518
"4/1/2015",969.063605472141
"5/1/2015",1.19282264741101
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0.518489586671486
"12/1/2015",0
"1/1/2016",3.54777219980125
"2/1/2016",1079.04147732106
"3/1/2016",2132.31879265715
"4/1/2016",1484.71502460823
"5/1/2016",33.9430436270797
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0
"10/1/2016",0
"11/1/2016",0.0442348005083377
"12/1/2016",0.225879668066732
"1/1/2017",17.0239200658505
"2/1/2017",1295.20542150797
"3/1/2017",2789.58526995107
"4/1/2017",930.776151593268
"5/1/2017",34.3671224132576
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",2.59837635176284
"10/1/2017",0.901631611238015
"11/1/2017",0.151278314348646
"12/1/2017",0
"1/1/2018",8.91002793026619
"2/1/2018",1875.17823868825
"3/1/2018",2959.04560896964
"4/1/2018",687.897828416715
"5/1/2018",31.6820097177724
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0.341832810409814
"10/1/2018",0
"11/1/2018",0.0719677451173201
"12/1/2018",0.278808061824401
"1/1/2019",39.4216462617162
"2/1/2019",666.417412585308
"3/1/2019",3625.97447779398
"4/1/2019",753.585759197759
"5/1/2019",23.8003835095895
"6/1/2019",0.0774380882599711
"7/1/2019",0.0802739460397361
"8/1/2019",0.0847074258508143
"9/1/2019",0
"10/1/2019",0.0759880751305644
"11/1/2019",0
"12/1/2019",0.0807671683470474
