"Year","Predicted Production"
"1/1/2012",1683.68401494644
"2/1/2012",2470.80009252251
"3/1/2012",5555.66472967934
"4/1/2012",1107.62961315017
"5/1/2012",124.073349701542
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0
"10/1/2012",0
"11/1/2012",0
"12/1/2012",0
"1/1/2013",2322.87388753783
"2/1/2013",3899.12604225385
"3/1/2013",7938.43855165885
"4/1/2013",1582.19077957997
"5/1/2013",169.745138969509
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0.025396271326984
"10/1/2013",0
"11/1/2013",0
"12/1/2013",0
"1/1/2014",1711.12736055998
"2/1/2014",4143.06942358863
"3/1/2014",7057.57394119416
"4/1/2014",1704.79251463308
"5/1/2014",164.091363752816
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0
"10/1/2014",0
"11/1/2014",0
"12/1/2014",0.147272614041102
"1/1/2015",1150.07935961525
"2/1/2015",6648.21071430875
"3/1/2015",6703.63198813916
"4/1/2015",2478.99432649471
"5/1/2015",229.427538828096
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0.0200626513932385
"11/1/2015",0
"12/1/2015",0
"1/1/2016",1557.39110222626
"2/1/2016",5631.28944387263
"3/1/2016",6461.62980008818
"4/1/2016",3244.08169286612
"5/1/2016",211.767298295422
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0
"10/1/2016",0
"11/1/2016",0.0691760584404716
"12/1/2016",0
"1/1/2017",2717.92260997204
"2/1/2017",5773.94449306722
"3/1/2017",6868.73724136013
"4/1/2017",4097.26130022731
"5/1/2017",259.562779314868
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0
"10/1/2017",0
"11/1/2017",0
"12/1/2017",0.0430164416656216
"1/1/2018",2155.79567268046
"2/1/2018",7176.8856935305
"3/1/2018",6896.29992714502
"4/1/2018",2720.46526170752
"5/1/2018",330.324828494832
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0.0220321900303577
"10/1/2018",0
"11/1/2018",0
"12/1/2018",0.0482321250449203
"1/1/2019",329.982029329905
"2/1/2019",5657.86488722415
"3/1/2019",8298.57418179632
"4/1/2019",2429.76183924408
"5/1/2019",227.520203101602
"6/1/2019",0.000994988881156808
"7/1/2019",0
"8/1/2019",0.000144531582641605
"9/1/2019",0
"10/1/2019",0.000394885842229353
"11/1/2019",0.0215764639010954
"12/1/2019",0
