Date,Production,Plantation,Interest_Rate
1/1/2012,0.0,0.0,9.8589
2/1/2012,2153.4857308430396,0.0,9.3174
3/1/2012,1095.3876469372358,0.0,8.9862
4/1/2012,91.13239852224751,0.0,8.4999
5/1/2012,2.721223697476489,0.0,7.9716
6/1/2012,0.0,0.0,7.6076
7/1/2012,0.0,0.0,7.2953
8/1/2012,0.0,0.0,8.277000000000001
9/1/2012,0.0,747.2626709195433,7.5788
10/1/2012,0.0,201.071698075526,7.2399
11/1/2012,0.0,84.96563100493063,7.1409
12/1/2012,0.0,0.0,7.0357
1/1/2013,2104.873044634995,0.0,7.3737
2/1/2013,2292.8442561353063,0.0,7.8862
3/1/2013,974.2277748805445,0.0,8.0275
4/1/2013,11.547924349153618,0.0,7.7476
5/1/2013,0.0,0.0,8.0224
6/1/2013,0.0,0.0,8.6295
7/1/2013,0.0,0.0,9.01
8/1/2013,0.0,0.0,10.2779
9/1/2013,0.0,788.549866207831,10.1777
10/1/2013,0.0,181.74024250733873,9.9838
11/1/2013,0.0,60.90989128483034,10.1783
12/1/2013,0.0,0.0,10.5595
1/1/2014,1403.9150312827214,0.0,11.9399
2/1/2014,2489.800049390897,0.0,11.2757
3/1/2014,1823.257719326381,0.0,11.5092
4/1/2014,0.0,0.0,11.3251
5/1/2014,0.0,0.0,11.1667
6/1/2014,0.0,0.0,10.9004
7/1/2014,0.0,0.0,10.9307
8/1/2014,0.0,0.0,11.3251
9/1/2014,0.0,607.2808980596554,11.6598
10/1/2014,0.0,232.87332841458,11.6777
11/1/2014,0.0,100.84577352576457,11.8799
12/1/2014,0.0,0.0,12.8928
1/1/2015,980.3774697379936,0.0,12.6768
2/1/2015,2102.4176268862884,0.0,13.2199
3/1/2015,2033.1515512543524,0.0,13.674000000000001
4/1/2015,705.9219279837007,0.0,13.6275
5/1/2015,351.09142413766494,0.0,13.79
6/1/2015,0.0,0.0,14.0799
7/1/2015,0.0,0.0,14.165
8/1/2015,0.0,0.0,14.2725
9/1/2015,0.0,590.2753555624263,15.2022
10/1/2015,0.0,193.52463550020298,15.2552
11/1/2015,0.0,39.20000893737074,15.3218
12/1/2015,0.0,0.0,14.6346
1/1/2016,975.6700843258612,0.0,14.634
2/1/2016,2084.4032064037933,0.0,13.554
3/1/2016,1866.028239646234,0.0,13.8614
4/1/2016,486.6683806582814,0.0,13.935
5/1/2016,457.61562329441676,0.0,13.9821
6/1/2016,21.47109051877669,0.0,13.614
7/1/2016,0.8233751526367996,0.0,13.690999999999999
8/1/2016,0.0,0.0,13.6674
9/1/2016,0.0,592.5052963989988,13.3671
10/1/2016,0.0,187.80182242216165,12.5727
11/1/2016,0.0,24.592881178839548,12.3966
12/1/2016,0.0,0.0,12.27
1/1/2017,863.976425077915,0.0,10.7447
2/1/2017,2151.300357420781,0.0,10.0616
3/1/2017,1763.3198256618925,0.0,10.2771
4/1/2017,554.8783113266427,0.0,9.8839
5/1/2017,664.3938913638931,0.0,11.0799
6/1/2017,38.88118914887582,0.0,11.7515
7/1/2017,0.0,0.0,9.5267
8/1/2017,0.0,101.49274751936474,7.6146
9/1/2017,0.0,323.5104947745784,7.1322
10/1/2017,0.0,289.4652822240987,7.0838
11/1/2017,0.0,13.93147548195816,6.8020000000000005
12/1/2017,0.0,0.0,6.7314
1/1/2018,1071.5168597246527,0.0,9.2838
2/1/2018,1661.630110540765,0.0,6.6976
3/1/2018,1165.7830009062159,0.0,6.1764
4/1/2018,495.01987861169846,0.0,6.14
5/1/2018,433.8853502166685,0.0,6.4489
6/1/2018,0.0,0.0,10.074
7/1/2018,0.0,0.0,6.9472
8/1/2018,0.0,126.0262840400357,8.1955
9/1/2018,0.0,438.2171105252673,7.8964
10/1/2018,0.0,166.6109553843711,7.1172
11/1/2018,0.0,23.04565005032589,6.4022
12/1/2018,0.0,0.0,6.3324
1/1/2019,1549.9414598087171,0.210234331672846,6.4995
2/1/2019,1405.1841988220951,0.0024908789247182197,6.5843
3/1/2019,1097.0980278472407,0.0705209880098066,5.910311887362631
4/1/2019,1312.8787446935935,0.0900121820572337,6.411489078073469
5/1/2019,0.0,0.158461789155596,5.983559877051059
6/1/2019,0.0,0.356130972273698,6.74214324047129
7/1/2019,0.0,0.12925964893907502,5.840935944235441
8/1/2019,0.0,146.448514629842,5.96477314473763
9/1/2019,0.0,530.594811132708,5.55932386833838
10/1/2019,0.0,186.758855044918,5.4527880737359
11/1/2019,0.0,24.6072782502956,5.78982606652536
12/1/2019,0.0,0.0980168267537684,5.56342277491543
