Date,Plantation,Lag1_Soya_Price,Soya_Price,Interest_Rate,Lag3_Milho_Price
1/1/2012,0.0,474.0,498.0,9.8589,274.79
2/1/2012,0.0,498.0,512.0,9.3174,274.39
3/1/2012,0.0,512.0,543.0,8.9862,258.65
4/1/2012,0.0,543.0,575.0,8.4999,272.84
5/1/2012,0.0,575.0,573.0,7.9716,279.46
6/1/2012,0.0,573.0,567.0,7.6076,280.69
7/1/2012,0.0,567.0,662.0,7.2953,274.0
8/1/2012,0.0,662.0,684.0,8.277000000000001,269.28
9/1/2012,688.788329012939,684.0,670.0,7.5788,267.31
10/1/2012,159.26316999631865,670.0,617.0,7.2399,333.05
11/1/2012,30.048500990742355,617.0,589.0,7.1409,331.99
12/1/2012,0.0,589.0,607.0,7.0357,320.85
1/1/2013,0.0,607.0,592.0,7.3737,321.24
2/1/2013,0.0,592.0,596.0,7.8862,321.64
3/1/2013,0.0,596.0,511.0,8.0275,308.65
4/1/2013,0.0,511.0,495.0,7.7476,303.13
5/1/2013,0.0,495.0,497.0,8.0224,302.74
6/1/2013,0.0,497.0,524.0,8.6295,309.04
7/1/2013,0.0,524.0,509.0,9.01,279.91
8/1/2013,0.0,509.0,516.0,10.2779,295.54
9/1/2013,413.70282012988014,516.0,556.0,10.1777,298.41
10/1/2013,194.10410026359966,556.0,544.0,9.9838,279.51
11/1/2013,57.393079606520246,544.0,553.0,10.1783,238.74
12/1/2013,0.0,553.0,568.0,10.5595,207.41
1/1/2014,0.0,568.0,566.0,11.9399,201.73
2/1/2014,0.0,566.0,591.0,11.2757,199.13
3/1/2014,0.0,591.0,500.0,11.5092,197.39
4/1/2014,0.0,500.0,516.0,11.3251,198.06
5/1/2014,0.0,516.0,521.25,11.1667,209.32
6/1/2014,0.0,521.25,516.0,10.9004,222.33
7/1/2014,0.0,516.0,480.0,10.9307,222.36
8/1/2014,0.0,480.0,460.0,11.3251,217.3
9/1/2014,265.5659461201321,460.0,432.0,11.6598,202.39
10/1/2014,209.58906420546487,432.0,424.0,11.6777,182.73
11/1/2014,67.34498967440305,424.0,449.0,11.8799,176.42
12/1/2014,0.0,449.0,446.0,12.8928,163.06
1/1/2015,0.0,446.0,433.21,12.6768,163.12
2/1/2015,0.0,433.21,423.55,13.2199,178.74
3/1/2015,0.0,423.55,409.79,13.674000000000001,178.73
4/1/2015,0.0,409.79,394.73,13.6275,174.71
5/1/2015,0.0,394.73,388.2,13.79,173.7
6/1/2015,0.0,388.2,391.48,14.0799,174.23
7/1/2015,0.0,391.48,405.87,14.165,172.05
8/1/2015,0.0,405.87,378.78,14.2725,166.29
