Year,Month,UF,Zonas,Production,Conf,Low,High,Tipo,Tipo Ajustado
2012,1,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,1,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,1,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,2,BA,BA_OESTE NORTE,76.56257989506443,0,0,0,Calculada,Real / Calculada
2012,2,BA,BA_OESTE SUL,14.3009489052192,0,0,0,Calculada,Real / Calculada
2012,2,BA,BA_OUTROS,23.30563359691037,0,0,0,Calculada,Real / Calculada
2012,3,BA,BA_OESTE NORTE,344.32733722492765,0,0,0,Calculada,Real / Calculada
2012,3,BA,BA_OESTE SUL,64.31611451799195,0,0,0,Calculada,Real / Calculada
2012,3,BA,BA_OUTROS,104.81317073905542,0,0,0,Calculada,Real / Calculada
2012,4,BA,BA_OESTE NORTE,702.1402494562268,0,0,0,Calculada,Real / Calculada
2012,4,BA,BA_OESTE SUL,131.15116869799562,0,0,0,Calculada,Real / Calculada
2012,4,BA,BA_OUTROS,213.73134774060756,0,0,0,Calculada,Real / Calculada
2012,5,BA,BA_OESTE NORTE,187.3624186779531,0,0,0,Calculada,Real / Calculada
2012,5,BA,BA_OESTE SUL,34.99699696567337,0,0,0,Calculada,Real / Calculada
2012,5,BA,BA_OUTROS,57.03308176819654,0,0,0,Calculada,Real / Calculada
2012,6,BA,BA_OESTE NORTE,6.560976760975816e-05,0,0,0,Calculada,Real / Calculada
2012,6,BA,BA_OESTE SUL,1.225509818969597e-05,0,0,0,Calculada,Real / Calculada
2012,6,BA,BA_OUTROS,1.997159978656927e-05,0,0,0,Calculada,Real / Calculada
2012,7,BA,BA_OESTE NORTE,4.455715483743944e-05,0,0,0,Calculada,Real / Calculada
2012,7,BA,BA_OESTE SUL,8.3227288783308e-06,0,0,0,Calculada,Real / Calculada
2012,7,BA,BA_OUTROS,1.3563188782110357e-05,0,0,0,Calculada,Real / Calculada
2012,8,BA,BA_OESTE NORTE,4.4298531603803656e-05,0,0,0,Calculada,Real / Calculada
2012,8,BA,BA_OESTE SUL,8.274421236986987e-06,0,0,0,Calculada,Real / Calculada
2012,8,BA,BA_OUTROS,1.3484463922903357e-05,0,0,0,Calculada,Real / Calculada
2012,9,BA,BA_OESTE NORTE,4.6374666488265876e-05,0,0,0,Calculada,Real / Calculada
2012,9,BA,BA_OESTE SUL,8.662217715942255e-06,0,0,0,Calculada,Real / Calculada
2012,9,BA,BA_OUTROS,1.411643895537166e-05,0,0,0,Calculada,Real / Calculada
2012,10,BA,BA_OESTE NORTE,4.71529427693723e-05,0,0,0,Calculada,Real / Calculada
2012,10,BA,BA_OESTE SUL,8.807590159575969e-06,0,0,0,Calculada,Real / Calculada
2012,10,BA,BA_OUTROS,1.4353346095511036e-05,0,0,0,Calculada,Real / Calculada
2012,11,BA,BA_OESTE NORTE,5.7924099411478076e-05,0,0,0,Calculada,Real / Calculada
2012,11,BA,BA_OESTE SUL,1.0819509833651595e-05,0,0,0,Calculada,Real / Calculada
2012,11,BA,BA_OUTROS,1.7632083965367316e-05,0,0,0,Calculada,Real / Calculada
2012,12,BA,BA_OESTE NORTE,6.41329973227244e-05,0,0,0,Calculada,Real / Calculada
2012,12,BA,BA_OESTE SUL,1.1979255650840024e-05,0,0,0,Calculada,Real / Calculada
2012,12,BA,BA_OUTROS,1.9522071214470675e-05,0,0,0,Calculada,Real / Calculada
2013,1,BA,BA_OESTE NORTE,0.03961128670579155,0,0,0,Calculada,Real / Calculada
2013,1,BA,BA_OESTE SUL,0.007398901500261896,0,0,0,Calculada,Real / Calculada
2013,1,BA,BA_OUTROS,0.012057667538536748,0,0,0,Calculada,Real / Calculada
2013,2,BA,BA_OESTE NORTE,19.320693922768566,0,0,0,Calculada,Real / Calculada
2013,2,BA,BA_OESTE SUL,3.6088681570238488,0,0,0,Calculada,Real / Calculada
2013,2,BA,BA_OUTROS,5.881215262328486,0,0,0,Calculada,Real / Calculada
2013,3,BA,BA_OESTE NORTE,193.80788080229135,0,0,0,Calculada,Real / Calculada
2013,3,BA,BA_OESTE SUL,36.20093007029213,0,0,0,Calculada,Real / Calculada
2013,3,BA,BA_OUTROS,58.99507911518347,0,0,0,Calculada,Real / Calculada
2013,4,BA,BA_OESTE NORTE,658.3660667450657,0,0,0,Calculada,Real / Calculada
2013,4,BA,BA_OESTE SUL,122.97468938946072,0,0,0,Calculada,Real / Calculada
2013,4,BA,BA_OUTROS,200.40649551294257,0,0,0,Calculada,Real / Calculada
2013,5,BA,BA_OESTE NORTE,66.57116832792018,0,0,0,Calculada,Real / Calculada
2013,5,BA,BA_OESTE SUL,12.434676027416696,0,0,0,Calculada,Real / Calculada
2013,5,BA,BA_OUTROS,20.26424996774132,0,0,0,Calculada,Real / Calculada
2013,6,BA,BA_OESTE NORTE,0.07164989808816224,0,0,0,Calculada,Real / Calculada
2013,6,BA,BA_OESTE SUL,0.013383320324724656,0,0,0,Calculada,Real / Calculada
2013,6,BA,BA_OUTROS,0.021810214263774094,0,0,0,Calculada,Real / Calculada
2013,7,BA,BA_OESTE NORTE,0.003472188601269447,0,0,0,Calculada,Real / Calculada
2013,7,BA,BA_OESTE SUL,0.000648562154568147,0,0,0,Calculada,Real / Calculada
2013,7,BA,BA_OUTROS,0.001056933497166166,0,0,0,Calculada,Real / Calculada
2013,8,BA,BA_OESTE NORTE,0.08417985932833849,0,0,0,Calculada,Real / Calculada
2013,8,BA,BA_OESTE SUL,0.015723763080516494,0,0,0,Calculada,Real / Calculada
2013,8,BA,BA_OUTROS,0.02562433189208903,0,0,0,Calculada,Real / Calculada
2013,9,BA,BA_OESTE NORTE,0.050637808656999246,0,0,0,Calculada,Real / Calculada
2013,9,BA,BA_OESTE SUL,0.009458520275421073,0,0,0,Calculada,Real / Calculada
2013,9,BA,BA_OUTROS,0.015414138556040976,0,0,0,Calculada,Real / Calculada
2013,10,BA,BA_OESTE NORTE,0.022203234893770515,0,0,0,Calculada,Real / Calculada
2013,10,BA,BA_OESTE SUL,0.004147291381528555,0,0,0,Calculada,Real / Calculada
2013,10,BA,BA_OUTROS,0.006758660141933233,0,0,0,Calculada,Real / Calculada
2013,11,BA,BA_OESTE NORTE,0.10377643206554413,0,0,0,Calculada,Real / Calculada
2013,11,BA,BA_OESTE SUL,0.019384162009292088,0,0,0,Calculada,Real / Calculada
2013,11,BA,BA_OUTROS,0.03158952460887677,0,0,0,Calculada,Real / Calculada
2013,12,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,12,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,12,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2014,1,BA,BA_OESTE NORTE,0.19536556720864634,0,0,0,Calculada,Real / Calculada
2014,1,BA,BA_OESTE SUL,0.0364918867457094,0,0,0,Calculada,Real / Calculada
2014,1,BA,BA_OUTROS,0.05946923853738624,0,0,0,Calculada,Real / Calculada
2014,2,BA,BA_OESTE NORTE,12.05159629496199,0,0,0,Calculada,Real / Calculada
2014,2,BA,BA_OESTE SUL,2.2510900635375646,0,0,0,Calculada,Real / Calculada
2014,2,BA,BA_OUTROS,3.6685034372303438,0,0,0,Calculada,Real / Calculada
2014,3,BA,BA_OESTE NORTE,401.4384554916158,0,0,0,Calculada,Real / Calculada
2014,3,BA,BA_OESTE SUL,74.98376946602602,0,0,0,Calculada,Real / Calculada
2014,3,BA,BA_OUTROS,122.1977834109052,0,0,0,Calculada,Real / Calculada
2014,4,BA,BA_OESTE NORTE,1178.2582049284963,0,0,0,Calculada,Real / Calculada
2014,4,BA,BA_OESTE SUL,220.0841508858815,0,0,0,Calculada,Real / Calculada
2014,4,BA,BA_OUTROS,358.6615556091921,0,0,0,Calculada,Real / Calculada
2014,5,BA,BA_OESTE NORTE,68.1135864868553,0,0,0,Calculada,Real / Calculada
2014,5,BA,BA_OESTE SUL,12.722780781875674,0,0,0,Calculada,Real / Calculada
