Produto,UF,Type,Years,Month,Percentage,Yearly_value,Cumulative_Prod,Monthly_Value
Milho 1 Safra,BA,Area Plantada,2012,1,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,2,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,3,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,4,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,5,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,6,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,7,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,8,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,9,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,10,0.45000000000000007,387.0,174.15000000000003,174.15000000000003
Milho 1 Safra,BA,Area Plantada,2012,11,1.0,387.0,387.0,212.84999999999997
Milho 1 Safra,BA,Area Plantada,2012,12,1.0,387.0,387.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,1,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,2,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,3,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,4,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,5,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,6,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,7,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,8,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,9,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,10,0.13333333333333336,544.5,72.60000000000001,72.60000000000001
Milho 1 Safra,BA,Area Plantada,2013,11,1.0,544.5,544.5,471.9
Milho 1 Safra,BA,Area Plantada,2013,12,1.0,544.5,544.5,0.0
Milho 1 Safra,BA,Area Plantada,2014,1,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,2,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,3,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,4,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,5,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,6,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,7,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,8,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,9,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2014,10,0.04,511.8,20.472,20.472
Milho 1 Safra,BA,Area Plantada,2014,11,0.9117647058823529,511.8,466.6411764705882,446.16917647058824
Milho 1 Safra,BA,Area Plantada,2014,12,1.0,511.8,511.8,45.15882352941179
Milho 1 Safra,BA,Area Plantada,2015,1,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,2,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,3,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,4,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,5,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,6,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,7,0.0,511.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,8,0.0,371.4,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2015,9,0.0,371.4,0.0,0.0
