Date,Production,Plantation,Lag3_Milho_Price,Interest_Rate
1/1/2012,0.0,0.0,274.79,9.8589
2/1/2012,0.0,0.0,274.39,9.3174
3/1/2012,742.7498850000001,0.0,258.65,8.9862
4/1/2012,715.2406299999999,0.0,272.84,8.4999
5/1/2012,192.56478500000003,0.0,279.46,7.9716
6/1/2012,0.0,0.0,280.69,7.6076
7/1/2012,0.0,0.0,274.0,7.2953
8/1/2012,0.0,0.0,269.28,8.277000000000001
9/1/2012,0.0,0.0,267.31,7.5788
10/1/2012,0.0,29.3,333.05,7.2399
11/1/2012,0.0,380.9,331.99,7.1409
12/1/2012,0.0,175.8,320.85,7.0357
1/1/2013,0.0,0.0,321.24,7.3737
2/1/2013,8.42961,0.0,321.64,7.8862
3/1/2013,497.34698999999995,0.0,308.65,8.0275
4/1/2013,899.1584000000003,0.0,303.13,7.7476
5/1/2013,280.98699999999985,0.0,302.74,8.0224
6/1/2013,0.0,0.0,309.04,8.6295
7/1/2013,0.0,0.0,279.91,9.01
8/1/2013,0.0,0.0,295.54,10.2779
9/1/2013,0.0,0.0,298.41,10.1777
10/1/2013,0.0,8.829333333333333,279.51,9.9838
11/1/2013,0.0,322.27066666666667,238.74,10.1783
12/1/2013,0.0,264.88,207.41,10.5595
1/1/2014,0.0,66.22000000000003,201.73,11.9399
2/1/2014,28.49529375,0.0,199.13,11.2757
3/1/2014,883.35410625,0.0,197.39,11.5092
4/1/2014,759.8744999999998,0.0,198.06,11.3251
5/1/2014,151.97490000000016,0.0,209.32,11.1667
6/1/2014,0.0,0.0,222.33,10.9004
7/1/2014,0.0,0.0,222.36,10.9307
8/1/2014,0.0,0.0,217.3,11.3251
9/1/2014,0.0,0.0,202.39,11.6598
10/1/2014,0.0,37.480000000000004,182.73,11.6777
11/1/2014,0.0,381.41411764705884,176.42,11.8799
12/1/2014,0.0,330.70588235294116,163.06,12.8928
1/1/2015,0.0,0.0,163.12,12.6768
2/1/2015,41.39291200000001,0.0,178.74,13.2199
3/1/2015,880.0921527619048,0.0,178.73,13.674000000000001
4/1/2015,837.7136952380954,0.0,174.71,13.6275
5/1/2015,310.44684000000007,0.0,173.7,13.79
6/1/2015,0.0,0.0,174.23,14.0799
7/1/2015,0.0,0.0,172.05,14.165
8/1/2015,0.0,0.0,166.29,14.2725
9/1/2015,0.0,0.0,166.72,15.2022
10/1/2015,0.0,39.315,179.6,15.2552
11/1/2015,0.0,498.6797368421052,162.59,15.3218
12/1/2015,0.0,248.30526315789473,165.62,14.6346
1/1/2016,0.0,783.0833181818181,171.39,14.634
2/1/2016,37.50651,3.2166818181818826,166.16,13.554
3/1/2016,565.2766864285713,0.0,163.95,13.8614
4/1/2016,433.1108892857145,0.0,161.03,13.935
5/1/2016,209.51438736263708,0.0,159.68,13.9821
6/1/2016,4.808526923077125,0.0,159.14,13.614
7/1/2016,0.0,0.0,164.41,13.690999999999999
8/1/2016,0.0,0.0,168.96,13.6674
9/1/2016,0.0,0.0,179.87,13.3671
10/1/2016,0.0,32.3202,161.76,12.5727
11/1/2016,0.0,404.47822105263157,150.15,12.3966
12/1/2016,0.0,228.77857894736854,148.43,12.27
1/1/2017,21.34072285714286,156.12299999999993,152.26,10.7447
2/1/2017,625.9945371428572,0.0,151.8,10.0616
3/1/2017,620.7779160000002,0.0,152.45,10.2771
4/1/2017,983.3330854285714,0.0,159.99,9.8839
5/1/2017,238.30473857142852,0.0,162.86,11.0799
6/1/2017,0.0,0.0,158.96,11.7515
7/1/2017,0.0,0.0,156.44,9.5267
8/1/2017,0.0,0.0,158.59,7.6146
9/1/2017,0.0,0.0,157.93,7.1322
10/1/2017,0.0,128.08653846153845,157.51,7.0838
11/1/2017,0.0,483.5920329670329,148.5,6.8020000000000005
12/1/2017,0.0,310.37023809523805,147.29,6.7314
1/1/2018,0.0,29.451190476190618,148.62,9.2838
2/1/2018,743.59725,0.0,148.7,6.6976
3/1/2018,1261.9907614285714,0.0,148.98,6.1764
4/1/2018,738.7815725714286,0.0,155.84,6.14
5/1/2018,230.0194160000001,0.0,163.36,6.4489
6/1/2018,0.0,0.0,172.0,10.074
7/1/2018,0.0,0.0,175.6,6.9472
8/1/2018,0.0,0.0,179.09,8.1955
9/1/2018,0.0,0.0,165.07,7.8964
10/1/2018,0.0,92.06785714285714,156.46,7.1172
11/1/2018,0.0,624.5162337662338,162.37,6.4022
12/1/2018,0.0,191.51326203208555,154.8,6.3324
1/1/2019,87.4503,19.233363820997397,160.26,6.4995
2/1/2019,1040.2941937500002,0.20325203273069198,160.69,6.5843
3/1/2019,975.2270062500004,0.0,167.44,5.910311887362631
4/1/2019,637.1378999999997,0.0,166.74,6.411489078073469
5/1/2019,0.0,0.0,169.52,5.983559877051059
6/1/2019,0.0,0.0,170.79959271010298,6.74214324047129
7/1/2019,0.0,0.0,169.77749508851102,5.840935944235441
8/1/2019,0.0,0.0,169.929585606075,5.96477314473763
9/1/2019,0.0,0.0,168.576985187654,5.55932386833838
10/1/2019,0.0,40.11966234248229,171.254936037046,5.4527880737359
11/1/2019,0.0,387.64509049107596,163.019992693414,5.78982606652536
12/1/2019,0.0,205.44809188885102,157.524338264814,5.56342277491543
