Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Interest_Rate
1/1/2012,0.0,0.0,,274.79,9.8589
2/1/2012,2998.543776,0.0,,274.39,9.3174
3/1/2012,1577.5505640000006,0.0,,258.65,8.9862
4/1/2012,52.15565999999944,0.0,0.0,272.84,8.4999
5/1/2012,0.0,0.0,0.0,279.46,7.9716
6/1/2012,0.0,0.0,0.0,280.69,7.6076
7/1/2012,0.0,0.0,0.0,274.0,7.2953
8/1/2012,0.0,0.0,0.0,269.28,8.277000000000001
9/1/2012,0.0,0.0,0.0,267.31,7.5788
10/1/2012,0.0,1397.6891181487601,0.0,333.05,7.2399
11/1/2012,0.0,596.5813477465567,0.0,331.99,7.1409
12/1/2012,0.0,22.729534104683125,0.0,320.85,7.0357
1/1/2013,174.2688,0.0,1397.6891181487601,321.24,7.3737
2/1/2013,4069.0530308571433,0.0,596.5813477465567,321.64,7.8862
3/1/2013,1500.177065142857,0.0,22.729534104683125,308.65,8.0275
4/1/2013,65.46110399999998,0.0,0.0,303.13,7.7476
5/1/2013,0.0,0.0,0.0,302.74,8.0224
6/1/2013,0.0,0.0,0.0,309.04,8.6295
7/1/2013,0.0,0.0,0.0,279.91,9.01
8/1/2013,0.0,0.0,0.0,295.54,10.2779
9/1/2013,0.0,14.334153495290034,0.0,298.41,10.1777
10/1/2013,0.0,1095.9219162452484,0.0,279.51,9.9838
11/1/2013,0.0,985.8536744339779,0.0,238.74,10.1783
12/1/2013,0.0,23.890255825483564,14.334153495290034,207.41,10.5595
1/1/2014,517.805585,0.0,1095.9219162452484,201.73,11.9399
2/1/2014,4348.1379825,0.0,985.8536744339779,199.13,11.2757
3/1/2014,1282.0564324999996,0.0,23.890255825483564,197.39,11.5092
4/1/2014,0.0,0.0,0.0,198.06,11.3251
5/1/2014,0.0,0.0,0.0,209.32,11.1667
6/1/2014,0.0,0.0,0.0,222.33,10.9004
7/1/2014,0.0,0.0,0.0,222.36,10.9307
8/1/2014,0.0,0.0,0.0,217.3,11.3251
9/1/2014,0.0,35.640279221698115,0.0,202.39,11.6598
10/1/2014,0.0,1752.9111168867926,0.0,182.73,11.6777
11/1/2014,0.0,511.94860389150926,0.0,176.42,11.8799
12/1/2014,0.0,0.0,35.640279221698115,163.06,12.8928
1/1/2015,486.00631351831174,0.0,1752.9111168867926,163.12,12.6768
2/1/2015,3577.878404940779,0.0,511.94860389150926,178.74,13.2199
3/1/2015,2803.2689910203903,0.0,0.0,178.73,13.674000000000001
4/1/2015,310.4062905205192,0.0,0.0,174.71,13.6275
5/1/2015,0.0,0.0,0.0,173.7,13.79
6/1/2015,0.0,0.0,0.0,174.23,14.0799
7/1/2015,0.0,0.0,0.0,172.05,14.165
8/1/2015,0.0,0.0,0.0,166.29,14.2725
9/1/2015,0.0,80.76983113636365,0.0,166.72,15.2022
