Date,Plantation,Interest_Rate,Lag3_Soya_Price,Soya_Price
1/1/2012,0.0,9.8589,503.0,498.0
2/1/2012,0.0,9.3174,486.0,512.0
3/1/2012,0.0,8.9862,474.0,543.0
4/1/2012,0.0,8.4999,498.0,575.0
5/1/2012,0.0,7.9716,512.0,573.0
6/1/2012,0.0,7.6076,543.0,567.0
7/1/2012,0.0,7.2953,575.0,662.0
8/1/2012,0.0,8.277000000000001,573.0,684.0
9/1/2012,92.91176656142112,7.5788,567.0,670.0
10/1/2012,5382.2783019737835,7.2399,662.0,617.0
11/1/2012,2199.7726898247984,7.1409,684.0,589.0
12/1/2012,143.23724163999668,7.0357,670.0,607.0
1/1/2013,0.0,7.3737,617.0,592.0
2/1/2013,0.0,7.8862,589.0,596.0
3/1/2013,0.0,8.0275,607.0,511.0
4/1/2013,0.0,7.7476,592.0,495.0
5/1/2013,0.0,8.0224,596.0,497.0
6/1/2013,0.0,8.6295,511.0,524.0
7/1/2013,0.0,9.01,495.0,509.0
8/1/2013,0.0,10.2779,497.0,516.0
9/1/2013,290.82821584594717,10.1777,524.0,556.0
10/1/2013,4653.804094567791,9.9838,509.0,544.0
11/1/2013,3481.89429576523,10.1783,516.0,553.0
12/1/2013,189.17339382103273,10.5595,556.0,568.0
1/1/2014,0.0,11.9399,544.0,566.0
2/1/2014,0.0,11.2757,553.0,591.0
3/1/2014,0.0,11.5092,568.0,500.0
4/1/2014,0.0,11.3251,566.0,516.0
5/1/2014,0.0,11.1667,591.0,521.25
6/1/2014,0.0,10.9004,500.0,516.0
7/1/2014,0.0,10.9307,516.0,480.0
8/1/2014,0.0,11.3251,521.25,460.0
9/1/2014,182.40533006256018,11.6598,516.0,432.0
10/1/2014,5674.9448350464845,11.6777,480.0,424.0
11/1/2014,3012.452242581703,11.8799,460.0,449.0
12/1/2014,64.69759230925229,12.8928,432.0,446.0
1/1/2015,0.0,12.6768,424.0,433.21
2/1/2015,0.0,13.2199,449.0,423.55
3/1/2015,0.0,13.674000000000001,446.0,409.79
4/1/2015,0.0,13.6275,433.21,394.73
5/1/2015,0.0,13.79,423.55,388.2
6/1/2015,0.0,14.0799,409.79,391.48
7/1/2015,0.0,14.165,394.73,405.87
8/1/2015,0.0,14.2725,388.2,378.78
9/1/2015,283.55102381906,15.2022,391.48,367.49
10/1/2015,3058.8978236417024,15.2552,405.87,375.95
11/1/2015,5486.085024930897,15.3218,378.78,368.0
12/1/2015,311.4661276083407,14.6346,367.49,368.42
1/1/2016,0.0,14.634,375.95,373.08
2/1/2016,0.0,13.554,368.0,373.75
3/1/2016,0.0,13.8614,368.42,380.97
4/1/2016,0.0,13.935,373.08,395.14
5/1/2016,0.0,13.9821,373.75,422.55
6/1/2016,0.0,13.614,380.97,457.4
7/1/2016,0.0,13.690999999999999,395.14,431.08
8/1/2016,0.0,13.6674,422.55,412.17
9/1/2016,87.0209071964674,13.3671,457.4,403.53
10/1/2016,3504.1499228382613,12.5727,431.08,401.87
11/1/2016,4925.008153319293,12.3966,412.17,397.76
12/1/2016,791.0228791338668,12.27,403.53,416.07
1/1/2017,15.598137512108224,10.7447,401.87,412.0
2/1/2017,0.0,10.0616,397.76,394.53
3/1/2017,0.0,10.2771,416.07,383.68
4/1/2017,0.0,9.8839,412.0,387.44
5/1/2017,0.0,11.0799,394.53,389.72
6/1/2017,0.0,11.7515,383.68,378.59
7/1/2017,0.0,9.5267,387.44,410.23
8/1/2017,0.0,7.6146,389.72,392.87
9/1/2017,866.3922727151876,7.1322,378.59,393.95
10/1/2017,6094.043719797461,7.0838,410.23,396.52
11/1/2017,2373.685968318552,6.8020000000000005,392.87,393.85
12/1/2017,184.47803916880002,6.7314,393.95,387.15
1/1/2018,0.0,9.2838,396.52,389.53
2/1/2018,0.0,6.6976,393.85,416.28
3/1/2018,0.0,6.1764,387.15,430.11
4/1/2018,0.0,6.14,389.53,439.07
5/1/2018,0.0,6.4489,416.28,430.32
6/1/2018,0.0,10.074,430.11,394.44
7/1/2018,0.0,6.9472,439.07,377.17
8/1/2018,0.0,8.1955,430.32,376.77
9/1/2018,592.8098633474325,7.8964,394.44,356.87
10/1/2018,4625.4807004812,7.1172,377.17,367.96
11/1/2018,4238.944819591049,6.4022,376.77,374.04
12/1/2018,286.3646165803184,6.3324,356.87,380.53
1/1/2019,0.0,6.4995,367.96,382.35
2/1/2019,0.0,6.5843,374.04,380.75
3/1/2019,0.0,5.910311887362631,380.53,363.803071324242
4/1/2019,0.0,6.411489078073469,382.35,369.51807217983804
5/1/2019,0.0,5.983559877051059,380.75,370.63768379245005
6/1/2019,0.0,6.74214324047129,363.803071324242,369.65859785761705
7/1/2019,0.0,5.840935944235441,369.51807217983804,375.94162402083504
8/1/2019,0.0,5.96477314473763,370.63768379245005,373.153579417723
9/1/2019,0.0,5.55932386833838,369.65859785761705,367.679791222964
10/1/2019,0.0,5.4527880737359,375.94162402083504,361.18066873260597
11/1/2019,0.0,5.78982606652536,373.153579417723,363.07582677412995
12/1/2019,0.0,5.56342277491543,367.679791222964,369.576379599759
