Date,Plantation,Exchange_Rate,Lag3_Milho_Price
1/1/2012,0.0,1.785035,274.79
2/1/2012,0.0,1.7168,274.39
3/1/2012,0.0,1.7953,258.65
4/1/2012,0.0,1.8522476190476191,272.84
5/1/2012,0.0,1.9810227272727277,279.46
6/1/2012,0.0,2.048195238095238,280.69
7/1/2012,0.0,2.029552380952381,274.0
8/1/2012,0.0,2.0279434782608696,269.28
9/1/2012,634.3415914205283,2.026857894736842,267.31
10/1/2012,2292.0673441018375,2.0297318181818182,333.05
11/1/2012,1665.2249802302422,2.06622,331.99
12/1/2012,161.16608424739206,2.07746,320.85
1/1/2013,0.0,2.028109523809524,321.24
2/1/2013,0.0,1.9729315789473685,321.64
3/1/2013,0.0,1.9842142857142857,308.65
4/1/2013,0.0,2.001109090909091,303.13
5/1/2013,0.0,2.0364727272727277,302.74
6/1/2013,0.0,2.17336,309.04
7/1/2013,0.0,2.2518318181818184,279.91
8/1/2013,0.0,2.340790909090909,295.54
9/1/2013,444.32212158682853,2.264105,298.41
10/1/2013,2540.2534515754683,2.1882227272727275,279.51
11/1/2013,1853.2435185455197,2.295936842105263,238.74
12/1/2013,172.58090829218418,2.347095238095238,207.41
1/1/2014,0.0,2.3857809523809523,201.73
2/1/2014,0.0,2.3792,199.13
3/1/2014,0.0,2.3250523809523806,197.39
4/1/2014,0.0,2.2324727272727274,198.06
5/1/2014,0.0,2.219509523809524,209.32
6/1/2014,0.0,2.236019047619048,222.33
7/1/2014,0.0,2.2242136363636362,222.36
8/1/2014,0.0,2.268519047619048,217.3
9/1/2014,532.1224191270996,2.3378809523809525,202.39
10/1/2014,2834.7178913487724,2.449531818181818,182.73
11/1/2014,1825.8518662211518,2.5527277777777777,176.42
12/1/2014,32.10782330297661,2.6418857142857144,163.06
1/1/2015,0.0,2.63462,163.12
2/1/2015,0.0,2.8169894736842105,178.74
3/1/2015,0.0,3.1413727272727274,178.73
4/1/2015,0.0,3.0420909090909087,174.71
5/1/2015,0.0,3.056205,173.7
6/1/2015,0.0,3.1116909090909086,174.23
7/1/2015,0.0,3.228809090909091,172.05
8/1/2015,0.0,3.515433333333333,166.29
9/1/2015,839.3911568870509,3.903219047619048,166.72
10/1/2015,2109.7815038770027,3.875238095238095,179.6
11/1/2015,2349.413492572496,3.785768421052632,162.59
12/1/2015,152.71384666345057,3.880836363636364,165.62
1/1/2016,0.0,4.05558947368421,171.39
2/1/2016,0.0,3.964385,166.16
3/1/2016,0.0,3.6980217391304344,163.95
4/1/2016,0.0,3.5634476190476194,161.03
5/1/2016,0.0,3.5403047619047614,159.68
6/1/2016,0.0,3.4234454545454542,159.14
7/1/2016,0.0,3.27814,164.41
8/1/2016,0.0,3.2085521739130436,168.96
9/1/2016,874.9846022930401,3.2531809523809523,179.87
10/1/2016,2856.2281514985075,3.185395,161.76
11/1/2016,971.8453092275086,3.33689,150.15
12/1/2016,526.5628526460478,3.353966666666667,148.43
1/1/2017,19.97908433489647,3.190084210526316,152.26
2/1/2017,0.0,3.1057263157894734,151.8
3/1/2017,0.0,3.1275304347826087,152.45
4/1/2017,0.0,3.138995,159.99
5/1/2017,0.0,3.2042772727272726,162.86
6/1/2017,0.0,3.2953954545454542,158.96
7/1/2017,0.0,3.19941,156.44
8/1/2017,0.0,3.147791304347826,158.59
9/1/2017,970.2920130321377,3.132515,157.93
10/1/2017,2584.5633660932117,3.192266666666667,157.51
11/1/2017,1739.172386499596,3.26293,148.5
12/1/2017,170.77223437505472,3.29496,147.29
1/1/2018,0.0,3.211523809523809,148.62
2/1/2018,0.0,3.2506526315789475,148.7
3/1/2018,0.0,3.2789681818181817,148.98
4/1/2018,0.0,3.4088857142857143,155.84
5/1/2018,0.0,3.6316,163.36
6/1/2018,0.0,3.771047619047619,172.0
7/1/2018,0.0,3.822095238095238,175.6
8/1/2018,0.0,3.9333217391304345,179.09
9/1/2018,664.5030572913682,4.108747368421053,165.07
10/1/2018,3291.1947551095786,3.761113636363637,156.46
11/1/2018,1409.449836963558,3.78595,162.37
12/1/2018,139.65235063549517,3.883355555555556,154.8
1/1/2019,0.0,3.735565,160.26
2/1/2019,0.0,3.724433333333333,160.69
3/1/2019,0.0,3.73586320775015,167.44
4/1/2019,0.0,3.6957914372487797,166.74
5/1/2019,0.0,3.72510284512667,169.52
6/1/2019,0.0,3.74957636594419,170.79959271010298
7/1/2019,0.0,3.73523662312877,169.77749508851102
8/1/2019,0.0,3.77093790800061,169.929585606075
9/1/2019,0.0,3.83131351086432,168.576985187654
10/1/2019,0.0,3.8273876875422994,171.254936037046
11/1/2019,0.0,3.85857162691347,163.019992693414
12/1/2019,0.0,3.8943019394206804,157.524338264814
