"Date","Predicted Plantation"
"1/1/2012",9.78967137765796e-05
"2/1/2012",6.5142101902893e-05
"3/1/2012",2.57627618425182e-05
"4/1/2012",4.46329278007696e-05
"5/1/2012",4.42898238688372e-05
"6/1/2012",3.53813099678302e-05
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0
"10/1/2012",27.2250570830967
"11/1/2012",271.659244637605
"12/1/2012",244.519667704063
"1/1/2013",0
"2/1/2013",0
"3/1/2013",0
"4/1/2013",0.00233174387930535
"5/1/2013",0
"6/1/2013",0.0158417741650838
"7/1/2013",0.173571087246634
"8/1/2013",0.308997547191224
"9/1/2013",0.424329646682204
"10/1/2013",31.9242627235976
"11/1/2013",327.843008188444
"12/1/2013",309.113784530581
"1/1/2014",0.179364578436341
"2/1/2014",0.117245241750968
"3/1/2014",0.115660852114597
"4/1/2014",0.0788879206880311
"5/1/2014",0.127555147488561
"6/1/2014",0.183619046692036
"7/1/2014",0.338351806272599
"8/1/2014",0.234809863757186
"9/1/2014",0.215676818747054
"10/1/2014",16.4469803403135
"11/1/2014",238.992239674565
"12/1/2014",347.806923885936
"1/1/2015",9.89387139476592
"2/1/2015",0.185086246507365
"3/1/2015",0.230410793306528
"4/1/2015",0.207776556841485
"5/1/2015",0.223105753799381
"6/1/2015",0.177307603239987
"7/1/2015",0.081998585007127
"8/1/2015",0.0429401684498978
"9/1/2015",0.00193063207058231
"10/1/2015",14.4141505121003
"11/1/2015",310.373035345207
"12/1/2015",324.965237718593
"1/1/2016",6.20790412080887
"2/1/2016",0.0797866805986476
"3/1/2016",0.0937914042078232
"4/1/2016",0.0707732199689735
"5/1/2016",0.0241020699378554
"6/1/2016",0
"7/1/2016",0.0237402853818049
"8/1/2016",0.0436149429197576
"9/1/2016",0.0532234664791851
"10/1/2016",10.0026606760375
"11/1/2016",284.599943978975
"12/1/2016",287.662427718768
"1/1/2017",29.0853996476106
"2/1/2017",0.765316463406034
"3/1/2017",0
"4/1/2017",0
"5/1/2017",0
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0
"10/1/2017",6.42423641202487
"11/1/2017",135.496535180913
"12/1/2017",279.687863470358
"1/1/2018",286.286621709145
"2/1/2018",0.43685809165344
"3/1/2018",0
"4/1/2018",0
"5/1/2018",0
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0
"10/1/2018",10.6496665523261
"11/1/2018",222.835586419993
"12/1/2018",260.769221330998
"1/1/2019",51.8511247787843
"2/1/2019",0
"3/1/2019",0
"4/1/2019",0
"5/1/2019",0
"6/1/2019",0
"7/1/2019",0
"8/1/2019",0
"9/1/2019",0
"10/1/2019",6.85977280513612
"11/1/2019",389.021927228323
"12/1/2019",259.657571953699
