Year,Month,UF,Zonas,Production,Conf,Low,High,Tipo,Tipo Ajustado
2012,1,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,1,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,1,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,2,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,2,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,2,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,3,BA,BA_OESTE NORTE,1256.2847856035542,0,0,0,Calculada,Real / Calculada
2012,3,BA,BA_OESTE SUL,297.3270194746117,0,0,0,Calculada,Real / Calculada
2012,3,BA,BA_OUTROS,5.546273280554182,0,0,0,Calculada,Real / Calculada
2012,4,BA,BA_OESTE NORTE,1094.0584899051512,0,0,0,Calculada,Real / Calculada
2012,4,BA,BA_OESTE SUL,258.9326509897302,0,0,0,Calculada,Real / Calculada
2012,4,BA,BA_OUTROS,4.8300731167489115,0,0,0,Calculada,Real / Calculada
2012,5,BA,BA_OESTE NORTE,214.02853553442625,0,0,0,Calculada,Real / Calculada
2012,5,BA,BA_OESTE SUL,50.65449114899074,0,0,0,Calculada,Real / Calculada
2012,5,BA,BA_OUTROS,0.9448978141850476,0,0,0,Calculada,Real / Calculada
2012,6,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,6,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,6,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,7,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,7,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,7,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,8,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,8,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,8,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,9,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2012,9,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2012,9,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2012,10,BA,BA_OESTE NORTE,6.623926403629341e-05,0,0,0,Calculada,Real / Calculada
2012,10,BA,BA_OESTE SUL,1.5676957306014865e-05,0,0,0,Calculada,Real / Calculada
2012,10,BA,BA_OUTROS,2.924345375014373e-07,0,0,0,Calculada,Real / Calculada
2012,11,BA,BA_OESTE NORTE,9.950348131186523e-05,0,0,0,Calculada,Real / Calculada
2012,11,BA,BA_OESTE SUL,2.3549655193500665e-05,0,0,0,Calculada,Real / Calculada
2012,11,BA,BA_OUTROS,4.392901243781163e-07,0,0,0,Calculada,Real / Calculada
2012,12,BA,BA_OESTE NORTE,0.00046526246591862614,0,0,0,Calculada,Real / Calculada
2012,12,BA,BA_OESTE SUL,0.0001101144452677051,0,0,0,Calculada,Real / Calculada
2012,12,BA,BA_OUTROS,2.054050811360814e-06,0,0,0,Calculada,Real / Calculada
2013,1,BA,BA_OESTE NORTE,0.6977512597563325,0,0,0,Calculada,Real / Calculada
2013,1,BA,BA_OESTE SUL,0.16513795659662964,0,0,0,Calculada,Real / Calculada
2013,1,BA,BA_OUTROS,0.0030804473737221535,0,0,0,Calculada,Real / Calculada
2013,2,BA,BA_OESTE NORTE,2.9943828379193578,0,0,0,Calculada,Real / Calculada
2013,2,BA,BA_OESTE SUL,0.708685589897327,0,0,0,Calculada,Real / Calculada
2013,2,BA,BA_OUTROS,0.013219666206276112,0,0,0,Calculada,Real / Calculada
2013,3,BA,BA_OESTE NORTE,1143.4936938467674,0,0,0,Calculada,Real / Calculada
2013,3,BA,BA_OESTE SUL,270.6325633133669,0,0,0,Calculada,Real / Calculada
2013,3,BA,BA_OUTROS,5.048320725795939,0,0,0,Calculada,Real / Calculada
2013,4,BA,BA_OESTE NORTE,857.7450175948366,0,0,0,Calculada,Real / Calculada
2013,4,BA,BA_OESTE SUL,203.0039466156133,0,0,0,Calculada,Real / Calculada
2013,4,BA,BA_OUTROS,3.7867912810304274,0,0,0,Calculada,Real / Calculada
2013,5,BA,BA_OESTE NORTE,164.1282940939145,0,0,0,Calculada,Real / Calculada
2013,5,BA,BA_OESTE SUL,38.844517623407604,0,0,0,Calculada,Real / Calculada
2013,5,BA,BA_OUTROS,0.7245971475159455,0,0,0,Calculada,Real / Calculada
2013,6,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,6,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,6,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2013,7,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,7,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,7,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2013,8,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,8,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,8,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2013,9,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,9,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,9,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2013,10,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,10,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,10,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2013,11,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,11,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,11,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2013,12,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2013,12,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2013,12,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
2014,1,BA,BA_OESTE NORTE,0.35949084313040297,0,0,0,Calculada,Real / Calculada
2014,1,BA,BA_OESTE SUL,0.08508129855686083,0,0,0,Calculada,Real / Calculada
2014,1,BA,BA_OUTROS,0.0015870879602351909,0,0,0,Calculada,Real / Calculada
2014,2,BA,BA_OESTE NORTE,6.446253398464084,0,0,0,Calculada,Real / Calculada
2014,2,BA,BA_OESTE SUL,1.5256455635754615,0,0,0,Calculada,Real / Calculada
2014,2,BA,BA_OUTROS,0.028459059118833757,0,0,0,Calculada,Real / Calculada
2014,3,BA,BA_OESTE NORTE,1362.528518878821,0,0,0,Calculada,Real / Calculada
2014,3,BA,BA_OESTE SUL,322.47190136332637,0,0,0,Calculada,Real / Calculada
2014,3,BA,BA_OUTROS,6.015320415283145,0,0,0,Calculada,Real / Calculada
2014,4,BA,BA_OESTE NORTE,1086.605846388521,0,0,0,Calculada,Real / Calculada
2014,4,BA,BA_OESTE SUL,257.16882139519936,0,0,0,Calculada,Real / Calculada
2014,4,BA,BA_OUTROS,4.797171024739637,0,0,0,Calculada,Real / Calculada
2014,5,BA,BA_OESTE NORTE,209.46710647067866,0,0,0,Calculada,Real / Calculada
2014,5,BA,BA_OESTE SUL,49.57493011027501,0,0,0,Calculada,Real / Calculada
2014,5,BA,BA_OUTROS,0.9247599183613294,0,0,0,Calculada,Real / Calculada
2014,6,BA,BA_OESTE NORTE,0.0,0,0,0,Calculada,Real / Calculada
2014,6,BA,BA_OESTE SUL,0.0,0,0,0,Calculada,Real / Calculada
2014,6,BA,BA_OUTROS,0.0,0,0,0,Calculada,Real / Calculada
