Year,Month,UF,Zonas,Production,Conf,Low,High,Tipo,Tipo Ajustado
2019,5,AC,AC,0.2625,70,0,0,Prevista,Prevista
2019,6,AC,AC,0.2625,70,0,0,Prevista,Prevista
2019,7,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,8,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,9,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,10,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,11,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,12,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,5,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,6,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,7,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,8,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,9,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,10,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,11,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,12,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,5,AM,AM,0.8579249999999999,70,0,0,Prevista,Prevista
2019,6,AM,AM,0.8579249999999999,70,0,0,Prevista,Prevista
2019,7,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,8,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,9,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,10,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,11,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,12,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,5,AP,AP,15.54,70,0,0,Prevista,Prevista
2019,6,AP,AP,15.54,70,0,0,Prevista,Prevista
2019,7,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,8,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,9,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,10,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,11,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,12,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,5,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,6,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,7,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,8,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,9,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,10,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,11,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,12,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,5,DF,DF,59.99375,70,0,0,Prevista,Prevista
2019,6,DF,DF,59.99375,70,0,0,Prevista,Prevista
2019,7,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,8,DF,DF,0.0,70,0,0,Prevista,Prevista
